Book Name,Date,Author
Where the Crawdads Sing,2019,Delia Owens
It Ends With Us: The most heartbreaking novel you'll ever read,2016,Colleen Hoover
Seven Husbands of Evelyn Hugo,2021,Taylor Jenkins Reid
Verity,2022,Colleen Hoover
The Scum Villain's Self-Saving System: Ren Zha Fanpai Zijiu Xitong (Novel) Vol. 3,2022,Mo Xiang Tong Xiu
The Hong Kong Diaries,2022,Chris Patten
Ugly Love,2016,Colleen Hoover
Twisted Lies,2022,Ana Huang
Twisted Love,2022,Ana Huang
Atomic Habits,2018,James Clear
The Love Hypothesis,2021,Ali Hazelwood
Things We Never Got Over,2022,Lucy Score
Twisted Games,2022,Ana Huang
Heaven Official's Blessing: Tian Guan Ci Fu (Novel) Vol. 3,2022,Mo Xiang Tong Xiu
The Summer I Turned Pretty,2010,Jenny Han
Twisted Hate,2022,Ana Huang
Cain's Jawbone,2021,Ernest Powys Mathers
The Midnight Library,2021,Matt Haig
Reminders of Him,2022,Colleen Hoover
Me vs Brain,2023,Hayley Morris
"Spy x Family, Vol. 1",2020,Tatsuya Endo
It's Not Summer Without You (Reprint),2011,Jenny Han
After Sappho,2022,Selby Wynn Schwartz
The Body Keeps the Score,2015,Bessel Van Der Kolk
Before the Coffee Gets Cold,2019,Toshikazu Kawaguchi
The Seven Moons of Maali Almeida,2022,Shehan Karunatilaka
The Psychology of Money,2020,Morgan Housel
The Scum Villains Self-Saving System: Ren Zha Fanpai Zijiu Xitong (Novel) Vol. 4 (Special Edition),2022,Mo Xiang Tong Xiu
Grandmaster of Demonic Cultivation: Mo Dao Zu Shi (Novel) Vol. 3,2022,Mo Xiang Tong Xiu
The Fine Print,2022,Lauren Asher
